Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Participation_Frac
FedAdam,FashionMNIST,,0.9,0.999,32,0.6390885513305664,0.7778943359319342,78.18,7,100,54410,1.0960047245025635,1.0931415557861328,0.002863168716430664,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,33,0.7123215322494507,0.7589486772000514,76.27,9,100,54410,1.537485122680664,1.5337886810302734,0.003696441650390625,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,34,0.7469967980384826,0.7526442340715509,75.48,8,100,54410,1.215104579925537,1.211099624633789,0.004004955291748047,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,35,0.6961270998477935,0.7712903668299892,76.96,8,100,54410,1.252054214477539,1.248560905456543,0.0034933090209960938,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,36,0.5781190472126007,0.8084137513693319,80.65,8,100,54410,1.0364511013031006,1.0333771705627441,0.0030739307403564453,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,37,0.5502329182386398,0.8163447573455338,81.82,5,100,54410,0.5944280624389648,0.5917773246765137,0.002650737762451172,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,38,0.55641452460289,0.80117138072841,81.04,6,100,54410,0.45546770095825195,0.45258021354675293,0.0028874874114990234,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,39,0.615569107055664,0.7815927768813867,79.53,5,100,54410,0.5986843109130859,0.5960841178894043,0.0026001930236816406,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,40,0.7274479729652404,0.7378627326998503,75.79,8,100,54410,0.7172553539276123,0.7143700122833252,0.0028853416442871094,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,41,0.7811435338497161,0.7297688219844022,75.63,6,100,54410,0.4560353755950928,0.4530928134918213,0.0029425621032714844,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,42,0.7591810888290406,0.739978263214917,77.33,9,100,54410,1.6847519874572754,1.6809773445129395,0.0037746429443359375,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,43,0.7690003035068512,0.7467507857084466,77.95,5,100,54410,0.7398650646209717,0.7370398044586182,0.0028252601623535156,,118.787109375,0.05-0.10
