Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Sweep_Type
FedHST,FashionMNIST,0.5,0.5,0.999,17,0.461482705450058,0.8350745620485498,83.61,26,100,54410,4.40418267250061,4.392174005508423,0.0120086669921875,0.011413335800170898,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,18,0.5853080927371979,0.7810938395765167,77.36,21,100,54410,3.099893808364868,3.090543270111084,0.00935053825378418,0.008795499801635742,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,19,0.4541415145874023,0.8410924967558838,84.18,28,100,54410,4.777482032775879,4.766209840774536,0.011272192001342773,0.010717391967773438,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,20,0.6728214202880859,0.7272869931339053,76.59,28,100,54410,3.825640916824341,3.813443183898926,0.012197732925415039,0.011586666107177734,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,21,0.5397105892181396,0.7910617511786376,80.9,24,100,54410,4.353288650512695,4.341941833496094,0.011346817016601562,0.010699033737182617,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,22,0.5434914039611817,0.8028143701326561,80.74,26,100,54410,4.122294664382935,4.110985040664673,0.011309623718261719,0.010754585266113281,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,23,0.46921779918670653,0.819763416090975,83.04,28,100,54410,4.822537660598755,4.809993743896484,0.012543916702270508,0.011900186538696289,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,24,0.4718701054573059,0.8291602547919702,83.47,23,100,54410,3.3665566444396973,3.355883836746216,0.010672807693481445,0.010026693344116211,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,25,0.7032819211483001,0.7316716848474832,73.41,29,100,54410,4.059685945510864,4.046954393386841,0.012731552124023438,0.01208806037902832,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,26,0.5941410610675811,0.7598070975520538,78.65,26,100,54410,4.678760290145874,4.667189359664917,0.011570930480957031,0.010954856872558594,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,27,0.4612212613105774,0.8181129472747027,83.22,27,100,54410,4.432824611663818,4.42085862159729,0.01196599006652832,0.011340141296386719,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,28,0.4359462819099426,0.8431539586550809,84.24,30,100,54410,5.30211067199707,5.288766860961914,0.01334381103515625,0.012651920318603516,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,29,0.4740729128599167,0.8262895058722955,82.75,25,100,54410,3.2098774909973145,3.199610710144043,0.010266780853271484,0.009727954864501953,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,30,0.4930633062839508,0.8094885698980703,82.91,28,100,54410,4.010516405105591,3.999030113220215,0.011486291885375977,0.010897636413574219,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,31,0.47476821165084837,0.8193666978504422,81.99,25,100,54410,3.307831048965454,3.296794891357422,0.011036157608032227,0.010419845581054688,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,32,0.5726869833946228,0.7768286811618608,77.6,25,100,54410,3.13297963142395,3.1214942932128906,0.01148533821105957,0.010786294937133789,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,33,0.438513817691803,0.8363834561876056,84.31,27,100,54410,4.424052000045776,4.412112236022949,0.011939764022827148,0.01134037971496582,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,34,0.7866772381782532,0.7548785539895072,79.2,29,100,54410,4.941832780838013,4.9293646812438965,0.012468099594116211,0.011896610260009766,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,35,0.5541634427070617,0.7907264290705935,82.34,27,100,54410,4.265656232833862,4.25250506401062,0.013151168823242188,0.012471914291381836,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,36,0.45344669461250303,0.8341704972628923,83.61,26,100,54410,4.731489181518555,4.7198731899261475,0.011615991592407227,0.011005640029907227,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,37,0.5477416472434997,0.7822820456047455,78.11,22,100,54410,4.023516893386841,4.012933254241943,0.010583639144897461,0.009904861450195312,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,38,0.4375812108516693,0.8435258423130685,85.03,25,100,54410,3.3002262115478516,3.28839373588562,0.011832475662231445,0.011183500289916992,122.98095703125,beta1
